44,0,41,0,69,0,48,1,41,1,69,1,8,1,1,0,44,1,44,1,8,0,48,0,41,0,69,1,7,1,44,0,48,1,8,0,1,1,93,1
86,0,64,0,51,1,14,0,120,1,62,0,120,1,120,1,76,1,120,0,120,0,23,0,57,0,21,0,102,1,41,0,69,1,99,1,102,1,58,0
3,0,3,0,3,0,3,1,3,1,3,0,112,1,3,1,3,1,3,1,3,1,3,1,3,1,3,0,3,1,3,1,3,1,3,1,3,1,8,0
102,1,51,0,9,1,5,0,3,0,42,0,40,1,42,1,42,1,9,0,120,0,75,0,5,0,16,0,40,0,40,1,72,1,3,1,40,0,51,0
21,0,119,1,49,1,13,0,48,0,119,1,69,1,79,0,21,1,19,1,23,0,119,1,119,1,101,1,119,1,10,1,54,1,5,1,32,1,43,0
53,1,5,1,96,0,64,1,53,0,114,1,71,1,71,0,64,0,5,0,103,1,37,1,33,0,85,0,23,1,37,0,79,1,79,0,52,1,64,0
83,1,48,1,111,1,84,0,30,1,21,0,21,0,21,1,48,1,5,0,20,0,7,0,26,0,111,0,75,0,119,1,26,1,33,1,21,1,21,1
100,0,100,1,32,1,11,0,65,1,79,0,51,1,98,0,36,1,11,0,66,1,40,0,54,1,106,0,101,1,2,0,110,0,39,1,9,0,49,1
31,1,84,0,21,0,53,0,84,0,53,1,31,1,84,0,21,0,53,0,84,0,53,1,31,1,84,0,21,0,53,0,84,0,53,1,84,0,53,1
62,1,44,1,100,1,14,1,100,1,67,0,21,1,95,0,2,1,102,1,104,1,104,0,48,1,29,0,45,0,48,0,76,1,10,1,100,1,51,1
3,0,101,0,101,1,3,1,101,1,3,1,79,1,111,0,91,0,45,1,79,0,20,0,31,0,31,1,79,0,79,0,79,0,3,0,90,0,101,0
68,0,20,0,86,1,20,1,37,0,5,0,84,0,101,0,84,0,69,0,69,1,69,1,72,1,13,1,112,1,32,0,84,0,84,0,102,0,65,1
44,1,42,1,64,1,85,1,14,0,107,1,14,1,91,0,9,0,11,0,91,0,32,0,38,1,53,0,32,1,101,1,74,1,74,1,98,1,19,0
110,0,113,0,36,1,10,1,106,1,36,1,37,1,114,1,110,1,120,1,113,1,91,1,120,1,91,1,91,1,109,1,91,1,91,1,89,0,113,0
52,1,69,1,9,1,30,0,16,1,9,0,35,0,98,1,40,1,99,1,88,0,13,0,15,1,13,1,60,1,84,1,14,0,39,1,81,1,51,1
105,0,84,1,114,1,51,1,28,1,9,0,16,1,16,1,100,0,51,1,19,1,100,1,32,1,9,0,73,0,100,0,100,0,51,1,86,0,19,1
14,0,14,0,14,0,1,0,9,1,107,1,73,1,48,1,9,0,54,1,43,1,42,1,49,1,9,1,14,0,14,1,9,1,16,1,87,1,29,0
21,0,17,0,11,0,41,1,41,1,17,1,25,1,21,0,11,0,4,1,44,0,41,1,7,0,8,0,25,1,76,0,106,0,11,0,1,1,11,1
51,0,69,1,78,0,72,1,23,0,49,1,73,1,21,0,86,1,70,1,93,1,48,1,59,0,89,1,13,0,46,1,76,0,76,1,75,1,12,1
85,0,85,0,85,1,85,1,96,0,9,0,111,1,97,0,119,0,52,0,52,0,52,1,25,0,21,1,100,0,2,1,100,1,83,0,83,0,83,1
16,0,7,0,9,1,114,0,114,0,114,0,114,0,114,0,33,1,33,1,114,0,35,0,9,0,86,1,64,1,25,1,48,1,22,1,98,0,98,1
3,0,62,1,112,0,112,1,88,1,112,0,62,1,7,0,100,0,30,0,30,1,37,0,2,1,33,1,86,1,64,1,68,0,16,0,37,0,37,1
64,0,7,1,68,0,1,1,95,0,1,1,20,1,27,1,27,1,95,1,1,1,1,0,1,1,56,1,1,0,1,1,38,0,63,1,95,1,1,1
7,0,46,1,86,0,43,0,18,0,11,0,77,0,11,0,8,1,17,0,9,0,47,0,9,0,86,1,86,0,63,0,39,0,7,1,44,0,98,0
66,1,66,1,58,1,66,1,66,1,30,1,79,0,5,0,90,0,102,1,30,1,90,1,66,1,79,1,68,0,66,0,20,1,60,0,66,1,83,0
72,0,42,1,72,1,80,0,93,1,99,1,42,0,35,0,35,0,35,0,4,1,35,1,12,1,85,1,54,1,35,1,72,1,10,1,72,1,41,1
26,0,87,0,87,1,79,0,79,0,87,0,42,1,79,0,27,1,79,0,83,0,102,0,26,0,86,0,83,0,73,0,79,1,26,0,42,1,90,0
8,0,39,0,80,0,77,1,2,1,70,1,35,0,11,0,11,0,11,1,11,1,11,0,11,0,11,0,11,1,11,0,8,1,87,0,4,0,11,1
30,0,94,0,30,0,6,1,62,1,79,1,6,0,29,1,26,1,8,1,55,0,80,0,22,1,68,1,53,1,29,0,5,1,25,1,68,0,63,1
88,0,11,0,11,0,11,0,21,0,11,0,101,1,97,0,7,1,86,0,9,1,86,1,14,1,63,0,23,1,23,1,23,1,23,0,39,0,15,1
55,1,101,0,13,0,52,1,52,0,60,1,23,1,22,1,59,0,101,0,2,1,53,0,38,1,45,1,2,1,101,0,53,1,101,1,21,1,80,0
48,1,94,1,4,1,3,1,17,0,111,1,69,0,52,0,16,1,41,1,2,1,52,1,52,0,69,1,52,1,49,1,91,1,114,1,30,1,3,1
72,0,38,0,2,0,78,0,2,1,69,0,102,1,55,0,38,0,78,1,120,0,69,1,38,1,2,0,2,1,77,0,2,0,120,0,41,1,2,1
68,0,39,0,101,1,101,0,68,0,22,0,30,0,30,0,26,0,30,1,13,0,64,0,101,1,5,0,30,0,30,0,101,0,30,0,101,0,5,1
11,1,103,1,30,0,46,0,95,0,19,0,95,1,11,1,95,0,74,1,60,1,23,1,49,0,36,1,65,1,28,1,8,1,6,0,95,1,9,0
34,1,10,1,10,0,69,1,72,1,59,1,94,1,80,1,80,0,72,0,100,0,39,0,68,1,3,0,100,0,67,0,13,0,94,0,60,1,69,1
16,0,26,0,37,0,89,1,72,1,119,1,93,1,20,1,30,1,75,0,105,1,105,1,55,1,93,0,22,1,48,0,55,1,50,0,47,0,105,0
71,0,55,1,84,1,28,1,62,1,97,1,71,1,39,0,28,1,55,0,97,0,85,0,30,0,0,0,85,1,30,1,86,1,112,1,86,0,30,0
79,1,72,0,2,0,32,1,23,0,112,0,30,1,23,1,95,1,100,0,22,0,71,1,71,0,76,1,52,1,23,1,23,1,61,0,7,0,90,0
